"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","weight","age","empl"
"201856","2","June","English","1","36","2","Male","1","2","1","2","1","1","1","1","1","2","1","9","2","2","9","2","2","9","2","1","2","2","3","2","2","2","3","1","2","2","2","2","2","3","2","1",3.96774193548387,56,"Employed"
"201856","2","June","English","1","36","2","Male","1","2","1","2","1","1","1","1","1","2","1","9","2","2","9","2","2","9","2","1","2","2","3","2","2","2","3","1","2","2","2","2","2","3","2","1",3.96774193548387,56,"Employed"
"201856","2","June","English","1","36","2","Male","1","2","1","2","1","1","1","1","1","2","1","9","2","2","9","2","2","9","2","1","2","2","3","2","2","2","3","1","2","2","2","2","2","3","2","1",3.96774193548387,56,"Employed"
"201856","2","June","English","1","36","2","Male","1","2","1","2","1","1","1","1","1","2","1","9","2","2","9","2","2","9","2","1","2","2","3","2","2","2","3","1","2","2","2","2","2","3","2","1",3.96774193548387,56,"Employed"
"201857","2","June","English","3","12","2","Female","2","2","1","2","1","1","1","1","1","1","1","1","1","1","3","2","1","9","3","1","2","8","3","1","1","2","2","1","2","2","2","2","2","3","2","2",2.58064516129032,41,"Employed"
"201857","2","June","English","3","12","2","Female","2","2","1","2","1","1","1","1","1","1","1","1","1","1","3","2","1","9","3","1","2","8","3","1","1","2","2","1","2","2","2","2","2","3","2","2",2.58064516129032,41,"Employed"
"201857","2","June","English","3","12","2","Female","2","2","1","2","1","1","1","1","1","1","1","1","1","1","3","2","1","9","3","1","2","8","3","1","1","2","2","1","2","2","2","2","2","3","2","2",2.58064516129032,41,"Employed"
"201868","2","June","English","2","17","1","Male","1","1","1","3","1","1","1","2","1","1","1","1","2","2","2","1","9","1","3","1","1","2","3","2","2","2","3","1","2","2","2","2","2","2","2","1",1,62,"Employed"
"201878","2","June","English","4"," 4","2","Male","1","2","1","2","1","1","1","2","1","1","1","1","1","1","2","3","1","9","2","1","1","2","1","2","2","2","2","6","2","2","1","2","9","2","2","1",5.25806451612903,20,"Employed"
"201878","2","June","English","4"," 4","2","Male","1","2","1","2","1","1","1","2","1","1","1","1","1","1","2","3","1","9","2","1","1","2","1","2","2","2","2","6","2","2","1","2","9","2","2","1",5.25806451612903,20,"Employed"
