"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","age","empl","salary"
"200409","2","June","English","1","34","1","Female","3","3","1","2","1","1","1","1","1","1","1","1","1","2","3","2","2","1","2","1","1","2","1","1","2","2","2","6","3","2","1","2","1","2","2","1",20,"Employed",9
"200409","2","June","English","1","34","1","Female","3","3","1","2","1","1","1","1","1","1","1","1","1","2","3","2","2","1","2","1","1","2","1","1","2","2","2","6","3","2","1","2","1","2","2","1",20,"Employed",9
"200409","2","June","English","1","34","1","Female","3","3","1","2","1","1","1","1","1","1","1","1","1","2","3","2","2","1","2","1","1","2","1","1","2","2","2","6","3","2","1","2","1","2","2","1",20,"Employed",9
"200409","2","June","English","1","34","1","Female","3","3","1","2","1","1","1","1","1","1","1","1","1","2","3","2","2","1","2","1","1","2","1","1","2","2","2","6","3","2","1","2","1","2","2","1",20,"Employed",9
"200413","2","June","English","3","11","2","Male","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","9","2","2","2","1","2","2","3","2","2","2","2","6","3","2","2","2","2","2","1","4",21,"Unemployed",10
"200413","2","June","English","3","11","2","Male","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","9","2","2","2","1","2","2","3","2","2","2","2","6","3","2","2","2","2","2","1","4",21,"Unemployed",10
"200413","2","June","English","3","11","2","Male","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","9","2","2","2","1","2","2","3","2","2","2","2","6","3","2","2","2","2","2","1","4",21,"Unemployed",10
"200413","2","June","English","3","11","2","Male","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","9","2","2","2","1","2","2","3","2","2","2","2","6","3","2","2","2","2","2","1","4",21,"Unemployed",10
"200413","2","June","English","3","11","2","Male","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","9","2","2","2","1","2","2","3","2","2","2","2","6","3","2","2","2","2","2","1","4",21,"Unemployed",10
"200429","2","June","English","1"," 9","1","Male","1","3","1","2","1","1","1","1","1","1","1","1","2","2","3","1","3","1","9","1","2","2","3","1","2","2","2","1","2","1","3","2","2","3","2","1",32,"Employed",10
"200429","2","June","English","1"," 9","1","Male","1","3","1","2","1","1","1","1","1","1","1","1","2","2","3","1","3","1","9","1","2","2","3","1","2","2","2","1","2","1","3","2","2","3","2","1",32,"Employed",10
"200429","2","June","English","1"," 9","1","Male","1","3","1","2","1","1","1","1","1","1","1","1","2","2","3","1","3","1","9","1","2","2","3","1","2","2","2","1","2","1","3","2","2","3","2","1",32,"Employed",10
"200432","2","June","Spanish","4"," 6","2","Female","1","2","1","2","1","1","2","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","4","1","1","2","1","1","1","1",35,"Unemployed",1
"200432","2","June","Spanish","4"," 6","2","Female","1","2","1","2","1","1","2","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","4","1","1","2","1","1","1","1",35,"Unemployed",1
"200432","2","June","Spanish","4"," 6","2","Female","1","2","1","2","1","1","2","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","4","1","1","2","1","1","1","1",35,"Unemployed",1
"200432","2","June","Spanish","4"," 6","2","Female","1","2","1","2","1","1","2","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","4","1","1","2","1","1","1","1",35,"Unemployed",1
"200432","2","June","Spanish","4"," 6","2","Female","1","2","1","2","1","1","2","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","4","1","1","2","1","1","1","1",35,"Unemployed",1
"200432","2","June","Spanish","4"," 6","2","Female","1","2","1","2","1","1","2","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","4","1","1","2","1","1","1","1",35,"Unemployed",1
"200432","2","June","Spanish","4"," 6","2","Female","1","2","1","2","1","1","2","1","1","2","2","9","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","4","1","1","2","1","1","1","1",35,"Unemployed",1
"200434","2","June","Spanish","4"," 8","2","Female","2","2","1","5","1","1","1","1","2","1","2","1","2","3","2","2","2","9","9","2","2","2","3","2","2","2","1","1","2","1","1","2","9","1","1","1",34,"Employed",1
"200434","2","June","Spanish","4"," 8","2","Female","2","2","1","5","1","1","1","1","2","1","2","1","2","3","2","2","2","9","9","2","2","2","3","2","2","2","1","1","2","1","1","2","9","1","1","1",34,"Employed",1
"200434","2","June","Spanish","4"," 8","2","Female","2","2","1","5","1","1","1","1","2","1","2","1","2","3","2","2","2","9","9","2","2","2","3","2","2","2","1","1","2","1","1","2","9","1","1","1",34,"Employed",1
"200434","2","June","Spanish","4"," 8","2","Female","2","2","1","5","1","1","1","1","2","1","2","1","2","3","2","2","2","9","9","2","2","2","3","2","2","2","1","1","2","1","1","2","9","1","1","1",34,"Employed",1
"200434","2","June","Spanish","4"," 8","2","Female","2","2","1","5","1","1","1","1","2","1","2","1","2","3","2","2","2","9","9","2","2","2","3","2","2","2","1","1","2","1","1","2","9","1","1","1",34,"Employed",1
"200440","2","June","English","3","12","2","Male","1","2","1","2","1","1","2","1","1","1","1","2","2","3","1","2","2","9","1","1","2","2","3","2","2","2","2","1","2","2","3","2","1","1","2","1",62,"Employed",10
"200443","2","June","English","1","42","2","Female","4","4","1","2","1","1","2","1","1","2","2","2","1","1","3","3","1","3","2","2","2","2","2","2","2","2","2","6","1","2","2","2","1","1","2","1",29,"Employed",2
"200443","2","June","English","1","42","2","Female","4","4","1","2","1","1","2","1","1","2","2","2","1","1","3","3","1","3","2","2","2","2","2","2","2","2","2","6","1","2","2","2","1","1","2","1",29,"Employed",2
"200445","2","June","English","3","24","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","2","3","3","9","3","2","3","2","1","2","3","1","2","2","1","2","1","2","1","2","2","9","2","2",48,"Employed",5
"200445","2","June","English","3","24","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","2","3","3","9","3","2","3","2","1","2","3","1","2","2","1","2","1","2","1","2","2","9","2","2",48,"Employed",5
"200445","2","June","English","3","24","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","2","3","3","9","3","2","3","2","1","2","3","1","2","2","1","2","1","2","1","2","2","9","2","2",48,"Employed",5
"200445","2","June","English","3","24","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","2","3","3","9","3","2","3","2","1","2","3","1","2","2","1","2","1","2","1","2","2","9","2","2",48,"Employed",5
"200445","2","June","English","3","24","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","2","3","3","9","3","2","3","2","1","2","3","1","2","2","1","2","1","2","1","2","2","9","2","2",48,"Employed",5
"200447","2","June","English","3","51","1","Male","2","2","1","2","1","1","1","1","1","1","2","1","1","2","1","2","3","2","3","1","1","2","3","2","2","2","3","1","2","1","2","2","9","1","2","1",35,"Employed",6
"200447","2","June","English","3","51","1","Male","2","2","1","2","1","1","1","1","1","1","2","1","1","2","1","2","3","2","3","1","1","2","3","2","2","2","3","1","2","1","2","2","9","1","2","1",35,"Employed",6
"200447","2","June","English","3","51","1","Male","2","2","1","2","1","1","1","1","1","1","2","1","1","2","1","2","3","2","3","1","1","2","3","2","2","2","3","1","2","1","2","2","9","1","2","1",35,"Employed",6
"200447","2","June","English","3","51","1","Male","2","2","1","2","1","1","1","1","1","1","2","1","1","2","1","2","3","2","3","1","1","2","3","2","2","2","3","1","2","1","2","2","9","1","2","1",35,"Employed",6
"200447","2","June","English","3","51","1","Male","2","2","1","2","1","1","1","1","1","1","2","1","1","2","1","2","3","2","3","1","1","2","3","2","2","2","3","1","2","1","2","2","9","1","2","1",35,"Employed",6
"200447","2","June","English","3","51","1","Male","2","2","1","2","1","1","1","1","1","1","2","1","1","2","1","2","3","2","3","1","1","2","3","2","2","2","3","1","2","1","2","2","9","1","2","1",35,"Employed",6
"200448","2","June","English","3","21","2","Female","1","2","1","4","1","1","1","1","1","1","1","2","2","2","3","2","2","9","9","9","9","2","3","2","2","2","9","2","2","2","3","2","2","3","2","1",66,"Unemployed",6
"200452","2","June","English","3"," 1","2","Male","1","3","1","2","1","1","9","2","1","1","1","2","1","3","3","3","1","3","3","2","2","2","3","9","2","2","2","1","2","1","1","2","9","1","2","1",22,"Employed",3
"200452","2","June","English","3"," 1","2","Male","1","3","1","2","1","1","9","2","1","1","1","2","1","3","3","3","1","3","3","2","2","2","3","9","2","2","2","1","2","1","1","2","9","1","2","1",22,"Employed",3
"200452","2","June","English","3"," 1","2","Male","1","3","1","2","1","1","9","2","1","1","1","2","1","3","3","3","1","3","3","2","2","2","3","9","2","2","2","1","2","1","1","2","9","1","2","1",22,"Employed",3
"200458","2","June","English","3","12","1","Male","1","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","2","2","3","1","1","2","2","1","2","1","3","2","2","3","1","1",31,"Employed",9
"200458","2","June","English","3","12","1","Male","1","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","2","2","3","1","1","2","2","1","2","1","3","2","2","3","1","1",31,"Employed",9
"200459","2","June","Spanish","3","22","1","Female","2","4","1","4","1","1","1","1","1","1","2","1","2","3","2","9","9","9","3","1","1","2","3","2","2","2","4","1","2","1","1","2","9","9","1","9",30,"Unemployed",10
"200459","2","June","Spanish","3","22","1","Female","2","4","1","4","1","1","1","1","1","1","2","1","2","3","2","9","9","9","3","1","1","2","3","2","2","2","4","1","2","1","1","2","9","9","1","9",30,"Unemployed",10
"200459","2","June","Spanish","3","22","1","Female","2","4","1","4","1","1","1","1","1","1","2","1","2","3","2","9","9","9","3","1","1","2","3","2","2","2","4","1","2","1","1","2","9","9","1","9",30,"Unemployed",10
"200459","2","June","Spanish","3","22","1","Female","2","4","1","4","1","1","1","1","1","1","2","1","2","3","2","9","9","9","3","1","1","2","3","2","2","2","4","1","2","1","1","2","9","9","1","9",30,"Unemployed",10
"200463","2","June","English","3","21","2","Male","1","3","1","2","1","1","1","1","1","1","1","1","1","3","1","1","3","9","3","1","2","2","3","2","2","2","1","1","5","1","2","2","2","2","2","1",55,"Employed",8
"200478","2","June","English","4"," 8","2","Male","2","4","1","2","2","1","1","1","1","1","2","2","1","3","1","3","2","3","1","1","2","2","1","1","2","2","2","6","4","2","1","2","1","1","2","1",20,"Employed",9
"200478","2","June","English","4"," 8","2","Male","2","4","1","2","2","1","1","1","1","1","2","2","1","3","1","3","2","3","1","1","2","2","1","1","2","2","2","6","4","2","1","2","1","1","2","1",20,"Employed",9
"200478","2","June","English","4"," 8","2","Male","2","4","1","2","2","1","1","1","1","1","2","2","1","3","1","3","2","3","1","1","2","2","1","1","2","2","2","6","4","2","1","2","1","1","2","1",20,"Employed",9
"200482","2","July","Spanish","4"," 6","2","Male","2","4","2","6","1","1","2","1","2","1","2","1","2","9","3","9","3","9","9","2","1","2","3","2","2","2","2","1","2","2","9","1","9","9","1","4",25,"Unemployed",10
"200482","2","July","Spanish","4"," 6","2","Male","2","4","2","6","1","1","2","1","2","1","2","1","2","9","3","9","3","9","9","2","1","2","3","2","2","2","2","1","2","2","9","1","9","9","1","4",25,"Unemployed",10
"200482","2","July","Spanish","4"," 6","2","Male","2","4","2","6","1","1","2","1","2","1","2","1","2","9","3","9","3","9","9","2","1","2","3","2","2","2","2","1","2","2","9","1","9","9","1","4",25,"Unemployed",10
"200486","2","June","English","4"," 6","1","Female","2","2","1","2","1","1","1","1","1","1","1","1","2","9","9","9","9","9","9","1","1","2","3","2","2","2","3","2","1","2","2","2","2","3","2","1",66,"Employed",5
"200486","2","June","English","4"," 6","1","Female","2","2","1","2","1","1","1","1","1","1","1","1","2","9","9","9","9","9","9","1","1","2","3","2","2","2","3","2","1","2","2","2","2","3","2","1",66,"Employed",5
"200486","2","June","English","4"," 6","1","Female","2","2","1","2","1","1","1","1","1","1","1","1","2","9","9","9","9","9","9","1","1","2","3","2","2","2","3","2","1","2","2","2","2","3","2","1",66,"Employed",5
"200501","2","June","English","4","49","1","Female","1","3","1","2","1","1","2","1","1","2","2","1","2","9","9","9","9","9","2","1","1","2","3","2","2","2","2","1","2","2","2","1","1","1","2","1",60,"Unemployed",6
"200501","2","June","English","4","49","1","Female","1","3","1","2","1","1","2","1","1","2","2","1","2","9","9","9","9","9","2","1","1","2","3","2","2","2","2","1","2","2","2","1","1","1","2","1",60,"Unemployed",6
"200501","2","June","English","4","49","1","Female","1","3","1","2","1","1","2","1","1","2","2","1","2","9","9","9","9","9","2","1","1","2","3","2","2","2","2","1","2","2","2","1","1","1","2","1",60,"Unemployed",6
"200504","2","June","English","4"," 8","2","Male","2","2","1","1","1","1","1","1","1","1","1","1","1","2","3","1","2","1","1","1","2","1","3","1","2","2","2","1","3","2","2","2","2","2","2","1",30,"Employed",7
"200504","2","June","English","4"," 8","2","Male","2","2","1","1","1","1","1","1","1","1","1","1","1","2","3","1","2","1","1","1","2","1","3","1","2","2","2","1","3","2","2","2","2","2","2","1",30,"Employed",7
"200505","2","June","English","3","22","1","Female","4","4","1","3","1","1","2","2","1","1","1","2","2","3","1","2","3","9","3","1","1","2","3","2","2","2","2","2","1","2","3","1","2","2","2","1",68,"Unemployed",1
"200505","2","June","English","3","22","1","Female","4","4","1","3","1","1","2","2","1","1","1","2","2","3","1","2","3","9","3","1","1","2","3","2","2","2","2","2","1","2","3","1","2","2","2","1",68,"Unemployed",1
"200507","2","June","English","3","22","2","Female","2","2","1","3","1","1","9","1","1","1","2","9","1","9","9","9","9","9","9","2","2","2","3","9","2","2","2","1","2","2","1","2","1","1","2","2",49,"Unemployed",1
"200507","2","June","English","3","22","2","Female","2","2","1","3","1","1","9","1","1","1","2","9","1","9","9","9","9","9","9","2","2","2","3","9","2","2","2","1","2","2","1","2","1","1","2","2",49,"Unemployed",1
"200507","2","June","English","3","22","2","Female","2","2","1","3","1","1","9","1","1","1","2","9","1","9","9","9","9","9","9","2","2","2","3","9","2","2","2","1","2","2","1","2","1","1","2","2",49,"Unemployed",1
"200507","2","June","English","3","22","2","Female","2","2","1","3","1","1","9","1","1","1","2","9","1","9","9","9","9","9","9","2","2","2","3","9","2","2","2","1","2","2","1","2","1","1","2","2",49,"Unemployed",1
"200507","2","June","English","3","22","2","Female","2","2","1","3","1","1","9","1","1","1","2","9","1","9","9","9","9","9","9","2","2","2","3","9","2","2","2","1","2","2","1","2","1","1","2","2",49,"Unemployed",1
"200507","2","June","English","3","22","2","Female","2","2","1","3","1","1","9","1","1","1","2","9","1","9","9","9","9","9","9","2","2","2","3","9","2","2","2","1","2","2","1","2","1","1","2","2",49,"Unemployed",1
"200510","2","June","English","4","30","2","Male","2","4","2","6","1","1","1","2","2","2","1","1","2","3","1","9","3","3","3","1","1","2","3","2","2","2","1","2","1","2","1","1","2","3","2","1",57,"Employed",4
"200510","2","June","English","4","30","2","Male","2","4","2","6","1","1","1","2","2","2","1","1","2","3","1","9","3","3","3","1","1","2","3","2","2","2","1","2","1","2","1","1","2","3","2","1",57,"Employed",4
"200519","2","June","English","2","55","1","Female","2","3","1","2","1","1","2","1","1","2","2","1","2","2","1","2","2","9","9","1","1","2","3","2","2","2","2","1","3","2","1","2","1","2","2","1",70,"Employed",4
"200519","2","June","English","2","55","1","Female","2","3","1","2","1","1","2","1","1","2","2","1","2","2","1","2","2","9","9","1","1","2","3","2","2","2","2","1","3","2","1","2","1","2","2","1",70,"Employed",4
"200521","2","June","English","3"," 1","1","Female","4","3","1","1","1","1","1","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","3","1","1","2","3","2","1","1","2","1","2","2","2","2",38,"Employed",1
"200521","2","June","English","3"," 1","1","Female","4","3","1","1","1","1","1","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","3","1","1","2","3","2","1","1","2","1","2","2","2","2",38,"Employed",1
"200521","2","June","English","3"," 1","1","Female","4","3","1","1","1","1","1","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","3","1","1","2","3","2","1","1","2","1","2","2","2","2",38,"Employed",1
"200521","2","June","English","3"," 1","1","Female","4","3","1","1","1","1","1","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","3","1","1","2","3","2","1","1","2","1","2","2","2","2",38,"Employed",1
"200521","2","June","English","3"," 1","1","Female","4","3","1","1","1","1","1","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","3","1","1","2","3","2","1","1","2","1","2","2","2","2",38,"Employed",1
"200525","2","June","English","4"," 6","2","Female","2","3","1","1","1","1","1","2","1","1","9","1","1","2","1","3","2","2","1","2","2","2","3","1","1","1","2","1","2","1","3","2","2","3","2","3",37,"Employed",6
"200525","2","June","English","4"," 6","2","Female","2","3","1","1","1","1","1","2","1","1","9","1","1","2","1","3","2","2","1","2","2","2","3","1","1","1","2","1","2","1","3","2","2","3","2","3",37,"Employed",6
"200525","2","June","English","4"," 6","2","Female","2","3","1","1","1","1","1","2","1","1","9","1","1","2","1","3","2","2","1","2","2","2","3","1","1","1","2","1","2","1","3","2","2","3","2","3",37,"Employed",6
"200525","2","June","English","4"," 6","2","Female","2","3","1","1","1","1","1","2","1","1","9","1","1","2","1","3","2","2","1","2","2","2","3","1","1","1","2","1","2","1","3","2","2","3","2","3",37,"Employed",6
"200525","2","June","English","4"," 6","2","Female","2","3","1","1","1","1","1","2","1","1","9","1","1","2","1","3","2","2","1","2","2","2","3","1","1","1","2","1","2","1","3","2","2","3","2","3",37,"Employed",6
"200525","2","June","English","4"," 6","2","Female","2","3","1","1","1","1","1","2","1","1","9","1","1","2","1","3","2","2","1","2","2","2","3","1","1","1","2","1","2","1","3","2","2","3","2","3",37,"Employed",6
"200525","2","June","English","4"," 6","2","Female","2","3","1","1","1","1","1","2","1","1","9","1","1","2","1","3","2","2","1","2","2","2","3","1","1","1","2","1","2","1","3","2","2","3","2","3",37,"Employed",6
"200532","2","June","English","4","53","2","Male","2","2","1","1","1","1","1","1","1","2","2","1","1","2","3","3","1","3","2","2","2","1","1","2","2","2","2","6","4","2","1","2","2","2","2","3",20,"Unemployed",2
"200532","2","June","English","4","53","2","Male","2","2","1","1","1","1","1","1","1","2","2","1","1","2","3","3","1","3","2","2","2","1","1","2","2","2","2","6","4","2","1","2","2","2","2","3",20,"Unemployed",2
