"psraid","sample","int_date","lang","usr","cregion","state","form","sex","q1","q3","eminuse","intmob","intfreq","home4nw","bbhome1","bbhome2","bbhome3a","bbhome3b","bbhome3c","bbhome3d","bbhome3e","device1a","smart1","q4","bbsmart1","bbsmart2","bbsmart3a","bbsmart3b","bbsmart3c","bbsmart3d","bbsmart3e","bbsmart3f","bbsmart4","cable1","cable2","cable3a","cable3b","cable3c","act19","act87a","act87b","act137","q5a","q5b","q5c","q5d","q5e","q5f","date1a","date2a","date3a","date3b","date4a","date4b","date4c","date4d","date4e","date4f","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","emplnw","emptype1","emptype2","emptype3","stud","job1a","job1b","job1c","job1d","job1e","job1f","job2","job3a","job3b","job3c","job3d","job3e","job3f","job3g","job3h","job4","smjob1","smjob2a","smjob2b","smjob2c","smjob2d","smjob2e","smjob3","smjob4a","smjob4b","smjob4c","smjob4d","smjob4e","snsjob1a","snsjob1b","snsjob1c","snsjob2a","snsjob2b","job5a","job5b","job5c","job5d","auto1a","auto1b","auto1c","auto1d","auto1e","auto2","auto3","age","marital","hh1","par","kidage1","kidage2","kidage3","educ2","edinst","disa","party","partyln","ideo","hisp","birth_hisp","race","inc","ql1a","qc1","zipcode","weight","standwt"
100152,1,62415,1,"S",4,49,1,2,2,4,1,1,2,1,2,NA,3,2,8,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,1,NA,1,2,2,2,NA,NA,NA,2,NA,2,1,2,2,2,2,2,1,1,2,3,8,2,8,1,1,8,2,4,NA,NA,NA,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,39,1,2,1,0,2,2,6,NA,2,1,NA,2,2,NA,1,6,NA,NA,84005,3.48387096774194,1.11230836102206
100163,1,61015,1,"S",2,27,2,2,2,2,1,2,1,1,2,NA,2,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,NA,2,2,NA,NA,NA,2,2,2,2,NA,1,2,1,2,2,2,1,2,2,3,1,3,3,2,3,2,1,NA,1,4,2,1,3,2,2,1,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,4,4,4,4,1,3,63,1,2,2,NA,NA,NA,8,NA,2,3,9,3,2,NA,1,6,NA,NA,55941,1.16129032258065,0.37076945367402
100178,1,62015,1,"U",4,6,2,1,1,2,1,1,3,1,2,NA,3,3,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,2,2,1,2,2,2,2,2,2,2,2,1,1,1,3,1,1,3,2,2,1,2,2,2,2,1,NA,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,2,4,4,4,2,4,4,2,19,6,3,2,NA,NA,NA,3,2,2,2,NA,3,2,NA,1,2,NA,NA,91306,3.25806451612903,1.04021430058545
100180,1,61015,1,"R",4,41,2,1,3,3,1,1,5,2,NA,NA,2,1,2,1,1,2,NA,NA,2,2,1,1,NA,2,2,2,1,1,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,2,NA,2,2,1,1,2,2,1,2,1,2,3,2,1,2,1,2,2,2,2,2,1,NA,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,4,4,4,4,4,2,2,28,6,2,2,NA,NA,NA,3,NA,2,1,NA,2,2,NA,1,3,2,NA,97470,6.12903225806452,1.95683878327955
100194,1,61015,1,"S",2,39,2,2,1,2,1,1,2,1,2,NA,2,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,2,2,2,2,NA,1,1,2,1,2,2,2,1,2,3,1,8,3,8,3,1,1,NA,4,NA,NA,NA,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,49,1,2,1,0,0,2,6,NA,2,2,NA,3,2,NA,1,8,NA,NA,44236,2.48387096774194,0.793034664802766
100205,1,61015,1,"S",2,55,2,2,2,2,1,1,2,1,2,NA,3,2,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,3,3,2,3,2,2,2,2,1,3,2,4,3,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,1,3,4,4,3,3,2,2,45,6,1,1,0,0,1,5,NA,2,1,NA,8,2,NA,1,4,NA,NA,54768,1.90322580645161,0.607649937965755
100209,1,61015,1,"S",3,37,1,1,1,2,1,2,5,1,2,NA,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,2,2,2,2,NA,NA,NA,2,NA,2,2,1,2,1,1,2,1,1,2,1,8,8,8,2,2,2,2,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,58,1,2,2,NA,NA,NA,3,NA,1,1,NA,1,2,NA,1,3,NA,NA,27028,2.32258064516129,0.74153890734804
100235,1,62415,1,"S",1,9,2,2,3,3,1,2,4,1,2,NA,2,2,2,2,2,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,2,NA,NA,NA,2,2,2,2,NA,1,1,1,1,2,2,1,2,2,8,8,8,8,8,8,2,8,NA,2,3,1,NA,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,1,4,4,4,4,4,2,2,73,1,2,2,NA,NA,NA,4,NA,1,3,1,2,2,NA,1,5,NA,NA,6516,2.38709677419355,0.762137210329931
100239,1,61015,1,"S",4,6,2,2,1,2,1,1,3,1,2,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,1,NA,1,1,NA,NA,NA,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,8,1,3,1,1,1,2,2,1,1,NA,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,4,1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,4,4,4,4,4,1,2,19,6,4,2,NA,NA,NA,4,2,2,2,NA,4,1,1,1,4,NA,NA,90404,7.16129032258065,2.28641163098979
100252,1,62115,1,"R",3,12,2,1,1,4,1,2,3,2,NA,NA,2,3,3,3,3,1,2,1,2,2,2,1,NA,2,1,1,5,1,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,2,2,2,2,NA,2,2,2,2,1,1,2,1,2,3,8,8,3,8,9,1,1,NA,5,8,1,NA,3,1,1,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,4,4,4,2,3,70,1,2,2,NA,NA,NA,3,NA,2,1,NA,1,2,NA,1,5,NA,NA,32060,2.32258064516129,0.74153890734804
100254,1,62015,1,"R",3,45,1,1,2,3,1,1,2,1,2,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,2,2,1,1,1,1,2,2,1,2,1,2,3,8,2,3,1,1,2,1,1,3,1,NA,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,4,4,4,4,4,2,2,25,6,3,2,NA,NA,NA,5,5,2,9,9,2,2,NA,1,99,NA,NA,29550,5.67741935483871,1.81265066240632
100262,1,62715,1,"R",2,26,2,1,1,2,1,2,3,1,2,NA,3,3,3,3,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,2,2,2,2,NA,2,2,1,1,2,2,1,1,2,8,1,8,8,8,2,2,2,NA,1,3,1,NA,3,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,3,4,3,3,2,2,51,1,2,2,NA,NA,NA,6,NA,1,3,1,2,2,NA,1,7,NA,NA,48418,1.64516129032258,0.525256726038195
100266,1,61015,1,"S",4,53,2,2,1,2,1,1,2,1,2,NA,3,1,1,8,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,8,8,1,1,2,1,2,2,2,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,4,4,4,4,3,8,73,1,2,2,NA,NA,NA,6,NA,2,3,2,4,2,NA,1,8,NA,NA,98516,1.09677419354839,0.35017115069213
100272,1,61015,1,"S",4,41,1,2,3,3,1,1,2,1,2,NA,3,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,2,2,1,1,NA,NA,NA,2,2,1,1,1,1,2,2,1,1,2,3,2,8,3,8,2,1,2,NA,1,5,2,1,3,2,1,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,2,3,4,3,3,3,2,2,40,1,2,1,0,0,2,8,NA,2,3,1,3,2,NA,1,8,NA,NA,97223,3.61290322580645,1.15350496698584
100298,1,61115,1,"S",1,34,2,2,2,3,1,1,1,1,2,NA,2,1,8,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,2,1,1,2,1,2,1,1,2,2,2,1,2,8,1,8,8,8,3,1,2,NA,1,3,2,1,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,2,1,4,4,4,4,4,2,3,37,6,1,1,1,0,0,6,NA,2,3,9,3,2,NA,1,7,NA,NA,7083,3.32258064516129,1.06081260356734
100300,1,62215,1,"R",3,22,1,2,1,4,2,2,NA,NA,NA,NA,3,3,1,2,3,1,2,2,2,1,1,1,NA,2,2,2,2,2,1,2,1,2,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,2,2,3,1,3,3,3,3,1,2,NA,4,NA,NA,NA,3,4,4,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,56,3,1,2,NA,NA,NA,3,NA,1,1,NA,3,2,NA,1,1,NA,NA,71457,1.7741935483871,0.566453332001975
100301,1,61115,1,"S",3,54,1,1,1,2,1,1,2,1,2,NA,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,2,2,2,1,NA,NA,NA,2,2,1,2,1,1,2,1,2,1,2,8,1,8,2,8,3,1,1,NA,1,3,2,2,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,1,4,4,4,4,4,1,1,61,1,2,2,NA,NA,NA,5,NA,2,3,1,1,2,NA,1,9,NA,NA,25090,2.2258064516129,0.710641452875205
100307,1,61115,1,"U",3,21,2,2,4,4,1,2,4,1,2,NA,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,2,2,1,2,1,1,2,1,2,3,2,3,3,3,3,1,2,NA,1,6,2,5,3,2,3,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,3,3,3,4,1,3,60,5,2,2,NA,NA,NA,3,NA,2,2,NA,2,2,NA,1,3,2,NA,42301,7.16129032258065,2.28641163098979
100308,1,61115,1,"R",2,26,2,2,2,2,2,2,NA,NA,NA,NA,3,3,3,3,3,2,NA,NA,2,2,2,2,NA,1,2,1,4,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,2,1,2,8,1,8,2,8,2,1,1,NA,8,NA,NA,NA,3,8,8,1,1,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,1,2,1,3,2,0,1,NA,2,8,8,8,2,NA,1,5,2,NA,49091,7.16129032258065,2.28641163098979
100310,1,61115,1,"S",1,42,2,2,1,1,1,1,2,1,2,NA,3,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,2,1,1,2,2,2,1,2,9,2,8,8,1,1,3,2,2,3,8,2,8,1,2,1,3,2,2,3,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,3,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,4,4,4,4,4,2,1,43,1,2,1,0,1,1,8,NA,2,2,NA,4,2,NA,3,9,NA,NA,16046,2.96774193548387,0.947521937166941
100316,1,61115,1,"S",3,47,1,2,1,4,2,2,NA,NA,NA,NA,3,2,8,1,3,1,1,NA,9,9,9,9,9,1,9,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,2,2,2,2,2,1,8,2,1,2,3,1,2,8,8,3,1,1,NA,4,NA,NA,NA,3,4,2,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,72,1,2,1,0,0,1,3,NA,2,1,NA,1,2,NA,1,5,NA,NA,38135,2.2258064516129,0.710641452875205
100320,1,61115,1,"S",2,29,1,2,2,2,1,1,4,1,2,NA,2,1,3,8,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,2,2,2,2,NA,NA,NA,2,NA,1,2,1,8,2,9,8,8,2,9,9,9,9,9,9,1,8,NA,4,NA,NA,NA,3,3,1,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,99,9,9,2,NA,NA,NA,99,NA,1,2,NA,4,9,NA,9,99,NA,NA,63040,1,0.319273696219295
100335,1,61115,1,"S",1,34,1,1,2,2,1,1,2,1,2,NA,3,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,2,1,1,NA,NA,NA,2,2,2,1,1,8,2,2,8,1,2,2,1,8,2,8,8,1,2,NA,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2,45,1,2,1,0,1,1,8,NA,2,2,NA,5,2,NA,9,9,NA,NA,7023,3.29032258064516,1.05051345207639
100364,1,62015,1,"R",2,27,1,2,2,1,2,2,NA,NA,NA,NA,1,2,2,3,2,2,NA,NA,1,2,2,2,NA,1,2,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,1,2,NA,2,3,1,NA,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,3,4,3,3,2,2,53,1,2,2,NA,NA,NA,3,NA,2,3,2,4,2,NA,1,4,2,NA,55912,7.16129032258065,2.28641163098979
100371,1,61115,1,"S",1,36,1,1,1,2,1,2,4,2,NA,NA,1,2,1,1,2,1,1,NA,2,2,2,2,2,1,8,2,NA,1,NA,NA,NA,NA,2,2,NA,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,8,2,8,1,2,3,9,8,9,9,9,1,1,NA,5,3,1,NA,3,1,1,2,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,1,4,4,4,4,1,59,3,2,2,NA,NA,NA,6,NA,2,2,NA,3,2,NA,2,8,NA,NA,11510,2.32258064516129,0.74153890734804
100380,1,61115,1,"R",2,26,1,1,2,3,1,1,2,1,2,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,2,1,1,NA,NA,NA,2,2,2,2,2,2,2,2,1,1,2,2,2,1,3,2,3,2,2,NA,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,4,4,4,4,4,2,2,56,1,2,2,NA,NA,NA,3,NA,2,3,1,3,2,NA,1,8,NA,NA,48809,1.7741935483871,0.566453332001975
100390,1,61115,1,"S",1,34,1,2,1,2,1,1,3,1,2,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,2,2,1,1,1,1,2,2,1,2,2,2,2,2,3,3,2,1,2,NA,4,NA,NA,NA,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,6,3,2,NA,NA,NA,3,2,2,3,2,3,2,NA,1,9,NA,NA,7458,7.16129032258065,2.28641163098979
